Format (See below)
PicIndex,31,32,35,36,37,38,19,20,41,42,61,62,59,60,53,54,5,4,3,PupilDiameter,Illuminance
1,3.296575E+002,3.391481E+002,2.063858E+002,2.081046E+002,-3.270483E+002,3.356422E+002,9.739631E+002,1.024000E+003,5.035278E+002,5.067683E+002,5.305029E+002,5.351934E+002,3.214280E+003,3.220582E+003,5.170936E+002,-5.069064E+002,1.557353E+003,6.231806E+002,9.341729E+002,1,3.296575E+002,3.391481E+002,2.063858E+002,2.081046E+002,-3.270483E+002,3.356422E+002,9.739631E+002,1.024000E+003,5.035278E+002,5.067683E+002,5.305029E+002,5.351934E+002,3.214280E+003,3.220582E+003,5.170936E+002,-5.069064E+002,1.557353E+003,6.231806E+002,9.341729E+002,;(off,off);,110.7474

1,3.372724E+002,3.490597E+002,2.073827E+002,2.120747E+002,-3.300871E+002,3.419947E+002,9.283716E+002,1.024000E+003,5.018293E+002,5.059645E+002,5.303991E+002,5.410044E+002,3.207759E+003,3.190652E+003,5.196379E+002,-5.043622E+002,1.562875E+003,6.217375E+002,9.411373E+002,1,3.372724E+002,3.490597E+002,2.073827E+002,2.120747E+002,-3.300871E+002,3.419947E+002,9.283716E+002,1.024000E+003,5.018293E+002,5.059645E+002,5.303991E+002,5.410044E+002,3.207759E+003,3.190652E+003,5.196379E+002,-5.043622E+002,1.562875E+003,6.217375E+002,9.411373E+002,;(off,off);,110.63365

1,3.437884E+002,3.424102E+002,2.085194E+002,2.096713E+002,-3.349997E+002,3.362967E+002,9.520505E+002,1.024000E+003,5.021777E+002,5.065534E+002,5.304706E+002,5.379941E+002,3.186735E+003,3.189548E+003,5.192322E+002,-5.047678E+002,1.501571E+003,6.219868E+002,8.795839E+002,1,3.437884E+002,3.424102E+002,2.085194E+002,2.096713E+002,-3.349997E+002,3.362967E+002,9.520505E+002,1.024000E+003,5.021777E+002,5.065534E+002,5.304706E+002,5.379941E+002,3.186735E+003,3.189548E+003,5.192322E+002,-5.047678E+002,1.501571E+003,6.219868E+002,8.795839E+002,;(off,off);,110.11855

1,3.381184E+002,3.484574E+002,2.077342E+002,2.119954E+002,-3.314783E+002,3.420652E+002,9.398511E+002,1.024000E+003,5.031381E+002,5.071373E+002,5.320875E+002,5.418193E+002,3.201767E+003,3.185135E+003,5.179917E+002,-5.060083E+002,1.512872E+003,6.234802E+002,8.893918E+002,1,3.381184E+002,3.484574E+002,2.077342E+002,2.119954E+002,-3.314783E+002,3.420652E+002,9.398511E+002,1.024000E+003,5.031381E+002,5.071373E+002,5.320875E+002,5.418193E+002,3.201767E+003,3.185135E+003,5.179917E+002,-5.060083E+002,1.512872E+003,6.234802E+002,8.893918E+002,;(off,off);,109.73425

1,3.339054E+002,3.456841E+002,2.073211E+002,2.096411E+002,-3.297488E+002,3.395820E+002,9.804959E+002,1.024000E+003,5.030182E+002,5.064523E+002,5.310189E+002,5.363832E+002,3.207091E+003,3.210974E+003,5.218415E+002,-5.021585E+002,1.539290E+003,6.211156E+002,9.181749E+002,1,3.339054E+002,3.456841E+002,2.073211E+002,2.096411E+002,-3.297488E+002,3.395820E+002,9.804959E+002,1.024000E+003,5.030182E+002,5.064523E+002,5.310189E+002,5.363832E+002,3.207091E+003,3.210974E+003,5.218415E+002,-5.021585E+002,1.539290E+003,6.211156E+002,9.181749E+002,;(off,off);,110.39005

